name,age,nationality,club,position,height,weight,foot,total_matches,total_goals,total_minutes,total_assists,total_goals_conceded,total_cs,total_yellow,total_red,minutes_per_goal,shot_accuracy,pass_completion_rate,cross_completion_rate,minutes_per_assist,dribble_success_rate,tackles,interception,market_value,titles,injuries
Lamine Fomba,26,France,Saint-Étienne,Midfielder - Defensive Midfield,188,68,Right,210,9,14142,5,,,49,1,,0.0,79.49,,,0.0,2,2,1.2,0,2
Leo Petrot,27,France,Saint-Étienne,Defender - Centre Back,188,80,,119,4,9670,,125,40,11,1,,100.0,75.9,16.67,688,100.0,22,11,1.0,0,0
Lilian Brassier,25,France,Olympique Marseille,Defender - Centre Back,186,78,,177,5,14462,,196,50,35,2,,25.0,87.4,0.0,,14.29,7,4,12.0,0,14
Logan Costa,23,France,Villarreal,Defender - Centre Back,190,,,118,7,9976,,113,33,19,2,,,83.02,100.0,,0.0,2,2,18.0,1,5
Loic Nego,33,France,Le Havre,Defender - Right Back,180,64,Right,370,44,29244,,329,123,58,3,,25.0,71.85,22.73,,50.0,19,12,0.9,3,5
Lorenz Assignon,24,France,Rennes,Defender - Right Back,181,67,,119,7,7104,,90,29,21,1,,0.0,80.09,27.27,607,38.89,9,8,10.0,1,12
Louis Leroux,18,France,Nantes,Midfielder,,,,10,1,653,0,,,2,0,,,,,,,,,,,0
Loum Tchaouna,21,France,Lazio,Forward,180,68,Left,111,16,5842,8,,,10,0,182,42.86,81.13,18.18,,50.0,3,1,8.0,0,1
Lucas Chevalier,23,France,Lille,Goalkeeper,189,,,159,0,14310,,148,59,6,0,,,71.01,,,0.0,2,0,25.0,1,1
Lucas Digne,31,France,Aston Villa,Defender - Left Back,178,74,Left,450,18,35152,,434,136,69,3,,25.0,85.59,28.3,435,42.86,23,14,12.0,20,30
Lucas Tousart,27,France,Union Berlin,Midfielder - Defensive Midfield,184,83,Right,352,16,26488,11,,,58,3,,66.67,60.71,0.0,,66.67,1,1,5.5,2,12
Ludovic Ajorque,30,France,Brest,Forward - Centre Forward,196,82,Right,321,91,22817,27,,,52,1,265,54.55,70.93,,,40.0,10,2,3.0,1,16
Ludovic Blas,26,France,Rennes,Midfielder - Attacking Midfield,180,70,Left,330,61,22524,31,,,44,1,328,57.89,80.79,25.93,492,33.33,10,2,15.0,2,14
lyes Housni,19,France,Al Sadd,Forward,,,,15,9,728,3,,,1,0,103,,,,,,,,3.0,,0
Maghnes Akliouche,22,France,Monaco,Midfielder,166,59,,88,17,4781,9,,,16,0,376,30.0,82.73,5.56,250,48.28,19,6,30.0,0,9
Mahamadou Diawara,19,France,Olympique Lyonnais,Forward,,,,30,0,1179,0,,,3,0,,,83.33,,,0.0,1,0,3.0,0,1
Mahdi Camara,26,France,Brest,Midfielder - Central Midfield,178,60,,207,24,15536,7,,,39,2,397,50.0,87.54,35.71,,47.83,26,10,10.0,0,13
Malang Sarr,25,France,Lens,Defender - Centre Back,183,70,Left,199,5,15214,,192,62,24,0,,,87.21,0.0,,0.0,0,4,4.0,3,8
Malo Gusto,21,France,Chelsea,Defender - Right Back,178,67,,126,1,8087,,112,28,18,2,,14.29,87.73,9.52,,33.33,18,10,35.0,3,19
Mamadou Diakhon,19,France,Reims,Forward,,,,60,4,2827,1,,,1,0,,100.0,90.7,0.0,,63.64,5,1,0.7,0,0
Mamadou Sarr,19,France,Strasbourg,Defender,,,,48,2,3584,,51,8,7,0,,,92.59,,,66.67,10,6,5.0,0,4
Marcus Coco,28,France,Nantes,Forward - Right Wing,184,75,Right,287,12,14992,13,,,42,3,,0.0,83.66,27.27,436,20.0,13,4,1.5,1,23
Marcus Thuram,27,France,Inter Milan,Forward - Centre Forward,189,79,,358,84,23113,35,,,35,3,139,68.0,71.5,40.0,488,15.79,10,1,65.0,4,17
Martin Terrier,27,France,Bayer Leverkusen,Forward - Left Wing,184,71,Right,293,85,18250,28,,,22,4,444,45.45,85.92,66.67,444,50.0,2,1,20.0,1,23
Marvin Senaya,23,France,Strasbourg,Defender - Right Back,181,65,Right,120,4,7955,,101,34,16,1,,,85.88,100.0,,0.0,6,6,2.0,0,6
Massadio Haidara,31,France,Brest,Defender - Left Back,179,76,Left,294,5,20279,,238,99,54,3,,,80.16,0.0,,25.0,4,3,2.0,1,32
Mathieu Cafaro,27,France,Saint-Étienne,Midfielder - Left Wing,178,74,Right,201,30,13098,22,,,40,2,571,52.94,74.52,47.37,,20.0,6,6,2.5,1,18
Mathis Amougou,18,France,Saint-Étienne,Midfielder,,,,17,0,861,0,,,2,0,,,,,,,,,,,0
Mathys Tel,19,France,Bayern München,Forward - Centre Forward,183,,,94,21,2849,8,,,4,0,,66.67,83.02,,,57.14,1,1,40.0,0,4
Matthis Abline,21,France,Nantes,Forward - Striker,182,70,Right,115,24,5415,6,,,7,0,444,50.0,70.0,0.0,,26.92,5,2,9.0,0,0
Maxence Lacroix,24,France,Crystal Palace,Defender - Centre Back,190,89,Right,169,7,14144,,199,57,33,6,,0.0,79.28,0.0,810,85.71,14,14,20.0,0,20
Melvin Bard,24,France,Nice,Defender - Left Back,173,65,Left,188,4,13778,,150,60,34,2,80,33.33,78.17,10.0,,54.55,16,3,12.0,0,14
Michel Ndary Adopo,,France,Cagliari,Midfielder,187,,,19,0,1096,0,,,2,0,,,84.13,0.0,,75.0,2,1,,0,0
Mickael Nade,25,France,Saint-Étienne,Defender - Centre Back,186,85,,106,6,8552,,137,27,19,2,46,100.0,87.01,,,0.0,19,8,1.5,0,0
Modibo Sagnan,25,France,Montpellier,Forward - Center Back,187,71,,176,8,13072,1,,,34,1,960,60.0,87.99,,,66.67,21,15,3.0,1,9
Mohamed Ali Cho,20,France,Nice,Forward,182,66,Left,133,13,5671,6,,,11,2,367,70.0,74.51,15.0,,20.0,6,1,12.0,0,15
Mohamed Kaba,23,France,Lecce,Midfielder,185,,,96,5,7415,4,,,17,1,,,,,,,,,3.5,,0
Moussa Diarra,31,France,Paris 13 Atletico,Midfielder,,,,93,1,7603,0,,,21,1,,,,,,,,,,0,0
Nabil Fekir,31,France,Al Jazira,Midfielder - Attacking Midfield,173,72,Left,381,103,27029,64,,,75,7,,20.0,86.3,55.56,180,0.0,3,0,10.0,2,40
Nathan Zeze,19,France,Nantes,Defender,183,,,55,2,4611,,57,15,8,1,,0.0,87.1,100.0,,100.0,22,10,10.0,0,4
Neal Maupay,28,France,Olympique Marseille,Forward - Centre Forward,173,69,Right,377,103,23118,32,,,61,3,190,83.33,83.16,0.0,190,33.33,5,0,12.0,0,10
Nhoa Ryan Sangui,18,France,Reims,Defender,,,,12,0,578,,9,0,1,0,,,,,569,,,,,,0
Nicolas Pallois,37,France,Nantes,Defender - Centre Back,189,89,Left,404,13,34165,,444,115,103,10,,0.0,87.07,100.0,,0.0,16,10,0.6,1,42
Niels Nkounkou,24,France,Eintracht Frankfurt,Defender - Left Back,180,79,,152,11,10525,,147,33,37,2,,0.0,73.58,30.77,,42.86,2,4,7.5,1,5
Nordine Kandil,23,France,Amiens SC,Midfielder - Attacking Midfield,165,55,Left,67,6,4110,8,,,2,0,,,,,,,,,1.0,0,8
Obite Evan NDicka,25,France,Roma,Defender - Centre Back,190,82,Right,283,12,24342,,352,63,50,2,,50.0,94.67,,1080,0.0,13,14,25.0,1,11
Othmane Maamma,19,France,Montpellier,Forward,,,,23,5,1311,1,,,1,0,,,88.89,33.33,56,11.11,0,0,0.3,0,2
Ousmane Dembele,27,France,PSG,Forward - Right Wing,178,67,Both,351,76,21683,88,,,43,1,136,66.67,85.4,31.91,170,42.5,3,6,60.0,19,20
Ousmane Toure,19,France,Lille,Defender,,,,16,0,1160,,15,3,2,0,,,80.0,,,0.0,0,1,,0,0
Pape Gueye,25,France,Villarreal,Midfielder - Defensive Midfield,189,65,,239,11,14788,9,,,59,6,,41.67,80.26,40.0,,0.0,16,7,8.0,1,19
Paul Joly,24,France,Auxerre,Defender - Right Back,182,75,Left,116,3,9224,,126,30,15,1,,50.0,75.33,11.11,396,28.57,17,11,2.5,0,4
Pierre Kalulu,24,France,Juventus,Defender - Centre Back,179,69,Right,179,3,13257,,152,62,17,0,,,94.38,28.57,,0.0,8,4,20.0,0,2
Pierrick Capelle,37,France,Angers SCO,Midfielder - Left Midfield,181,73,Left,372,30,23985,15,,,50,2,,100.0,79.82,14.29,,50.0,11,4,0.25,0,18
Quentin Merlin,22,France,Olympique Marseille,Midfielder,173,70,Left,111,4,8213,8,,,9,1,,66.67,89.3,21.43,375,0.0,3,5,10.0,0,10
Rabby Nzingoula,19,France,Montpellier,Forward,,,,16,1,803,1,,,6,0,671,,,,,,,,1.5,,0
Randal Kolo Muani,25,France,PSG,Forward - Centre Forward,187,73,,247,74,16495,33,,,28,3,162,45.45,73.53,,323,50.0,3,0,40.0,4,7
Randy Ntekja,26,France,Rayo Vallecano,Midfielder - Attacking Midfield,189,75,Left,242,29,15268,5,,,49,5,,33.33,71.88,0.0,,0.0,4,1,1.5,2,11
Rayan Ait Nouri,23,France,Wolverhampton Wanderers,Defender - Left Back,180,70,Left,168,10,11797,,177,45,27,0,42,55.56,85.56,11.11,509,53.12,22,11,35.0,0,26
Rayan Raveleson,27,France,Auxerre,Midfielder - Defensive Midfield,183,73,,298,26,22356,18,,,23,2,623,45.45,89.92,11.11,,54.55,6,3,2.0,0,1
Remi Oudin,28,France,Lecce,Forward - Right Wing,185,79,,281,56,17045,25,,,24,0,,50.0,75.95,25.0,,60.0,2,0,3.5,1,4
Remy Labeau,21,France,Lens,Forward,,,,61,5,2868,5,,,10,1,421,,,,,,,,1.5,,0
Robin Le Normand,28,France,Atlético Madrid,Defender - Centre Back,187,80,Right,320,10,26805,,250,135,77,4,,0.0,89.52,,,100.0,11,2,40.0,2,16
Romain Del Castillo,28,France,Brest,Midfielder - Right Midfield,172,56,Right,339,37,20436,48,,,29,1,220,66.67,75.86,37.7,331,41.67,16,2,10.0,1,15
Romain Perraud,27,France,Real Betis,Defender - Left Back,173,68,Left,259,22,18530,,260,71,34,0,,33.33,82.07,9.09,,50.0,15,10,5.0,1,7
Ryan Cherki,21,France,Olympique Lyonnais,Midfielder - Attacking Midfield,176,71,Right,182,31,8858,25,,,12,2,227,50.0,82.11,28.12,453,62.07,4,1,20.0,0,5
Saidou Sow,22,France,Strasbourg,Defender - Centre Back,185,73,,98,3,7481,,117,20,13,0,,33.33,90.02,,928,50.0,9,15,4.0,0,7
Saimon Nadelia Bouabre,18,France,Monaco,Midfielder,,,Right,11,3,617,0,,,0,0,,,,,,,,,,,0
Samuel Gigot,31,France,Lazio,Defender - Centre Back,187,83,,324,24,26765,,322,91,84,8,0,,95.45,,,0.0,0,1,5.0,1,24
Sebastien Haller,30,France,Leganés,Forward - Centre Forward,191,82,Right,407,165,29173,55,,,30,1,,33.33,60.47,,,50.0,2,0,7.5,5,17
Sehrou Guirassy,28,France,Borussia Dortmund,Forward - Centre Forward,187,82,Right,314,124,19102,18,,,29,2,117,57.89,75.95,,702,12.5,1,1,40.0,0,16
Sekou Mara,22,France,Strasbourg,Forward - Centre Forward,184,80,Right,123,23,4470,8,,,7,0,441,60.0,72.09,0.0,441,40.0,5,3,6.0,0,3
Sidiki Cherif,17,France,Angers SCO,Forward,185,79,,14,0,390,0,,,0,0,,,,,,,,,1.0,,0
Sofiane Diop,24,France,Nice,Forward - Left Wing,175,50,Right,186,25,10235,16,,,18,1,104,100.0,85.88,25.0,104,40.0,3,3,12.0,0,12
Souleymane Toure,21,France,Udinese,Defender,206,,,85,3,6314,,95,22,22,2,,,93.03,25.0,,60.0,5,9,7.0,0,12
Soumaila Coulibaly,21,France,Brest,Defender,,,,77,0,5440,,84,18,9,0,,0.0,88.37,,,0.0,2,5,6.0,0,7
Soungoutou Magassa,21,France,Monaco,Midfielder,186,62,,69,1,4364,0,,,20,0,,50.0,88.93,,,63.64,16,7,8.0,0,2
Stanley Nsoki,25,France,Hoffenheim,Defender - Centre Back,184,,,159,1,11311,,170,37,38,6,,,87.95,,,0.0,4,4,2.5,6,21
Steve Mandanda,39,France,Rennes,Goalkeeper - Goalkeeper,187,82,Right,609,0,54288,,631,189,29,4,,,69.69,,,100.0,0,0,0.8,7,16
Tanguy Coulibaly,23,France,Montpellier,Forward - Right Wing,,,,108,9,4667,3,,,19,1,427,75.0,78.85,0.0,,76.47,9,5,2.0,0,15
Tanguy Ndombele,27,France,Nice,Midfielder - Central Midfield,181,76,,327,20,18811,39,,,29,1,610,25.0,89.68,50.0,610,53.85,21,7,8.0,4,20
Tanguy Nianzou,22,France,Sevilla FC,Defender - Centre Back,191,83,Right,107,8,6736,,90,37,22,3,,0.0,90.73,,,100.0,7,7,3.0,8,16
Teji Savanier,32,France,Montpellier,Midfielder - Attacking Midfield,172,62,,375,71,29945,67,,,110,12,852,35.71,79.2,25.4,426,32.14,12,4,7.0,0,33
Theo Chennahi,19,France,Montpellier,Midfielder,178,63,,2,0,6,0,,,1,0,,,,,,,,,,,0
Theo Hernandez,27,France,AC Milan,Defender - Left Back,184,81,,352,38,29531,,345,118,88,9,74,57.14,92.29,28.57,333,46.15,9,10,60.0,7,17
Theo Pellenard,30,France,Auxerre,Defender - Left Back,182,78,Left,198,3,14961,,172,57,39,1,,,81.82,50.0,,0.0,3,0,1.0,0,7
Thomas Lemar,29,France,Atlético Madrid,Midfielder - Attacking Midfield,171,62,Left,348,33,19473,51,,,25,0,,,100.0,,,0.0,0,0,7.5,5,30
Timothee Pembele,22,France,Le Havre,Defender - Right Back,183,75,,74,8,4428,,83,15,9,0,,50.0,76.0,0.0,,42.86,2,1,2.5,6,5
Tom Louchet,21,France,Nice,Midfielder,176,65,,70,7,4770,1,,,3,0,227,100.0,78.26,0.0,,50.0,4,0,3.0,0,1
Tom Tony Pouilly,21,France,Lens II,Midfielder,,,,41,4,2940,0,,,9,0,,,62.07,,,0.0,2,1,,0,0
Valentin Gendrey,24,France,Hoffenheim,Defender - Right Back,179,75,Right,156,4,12124,,149,41,14,0,,0.0,84.21,33.33,,0.0,2,2,8.5,0,6
Valentin Rongier,29,France,Olympique Marseille,Midfielder - Central Midfield,172,66,Right,343,15,25994,18,,,43,2,250,100.0,86.73,,,100.0,7,2,10.0,0,19
Warmed Omari,24,France,Olympique Lyonnais,Defender,188,59,Right,120,2,10120,,111,36,22,2,,,100.0,,,0.0,0,0,8.0,0,13
Warren Bondo,21,France,Monza,Midfielder,177,63,Right,103,3,5279,4,,,21,2,,0.0,90.83,0.0,,38.46,18,5,6.0,0,4
Wesley Fofana,23,France,Chelsea,Defender - Centre Back,190,85,Right,118,5,9695,,116,33,36,1,,0.0,89.22,0.0,,71.43,10,10,25.0,4,23
Wesley Said,29,France,Lens,Forward - Centre Forward,171,65,Right,256,49,12447,7,,,24,0,353,50.0,80.46,0.0,,36.36,3,0,4.0,0,28
William Saliba,23,France,Arsenal,Defender - Centre Back,192,92,Right,240,7,20649,,219,91,31,2,,,94.52,,,100.0,26,7,80.0,7,11
Willy Kambwala,20,France,Villarreal,Defender - Centre Back,192,,,52,2,3564,,70,9,10,2,,,73.17,,,0.0,4,0,5.0,0,3
Wilson Odobert,19,France,Tottenham Hotspur,Forward,,,,71,9,4320,4,,,3,0,,,,,,,,,18.0,,0
Wylan Cyprien,29,France,Parma,Midfielder - Central Midfield,181,75,Right,302,42,21060,16,,,48,3,,0.0,70.0,,,0.0,0,1,1.5,1,14
Yacine Adli,24,France,Fiorentina,Midfielder - Attacking Midfield,186,75,,187,14,10373,21,,,26,0,246,100.0,85.47,33.33,164,25.0,10,2,12.0,4,5
Yael Mouanga Boudzoumou,19,France,Montpellier,Defender,,,,2,0,93,,3,0,0,0,,,,,,,,,,,0
Yanis Ali Issoufou,18,France,Montpellier,Forward,,,,9,0,490,0,,,2,0,,,66.67,0.0,,100.0,5,0,,0,0
Yann Gboho,23,France,Toulouse,Midfielder - Attacking Midfield,173,,,149,17,8027,17,,,4,0,504,46.67,71.81,5.88,504,47.62,14,3,4.0,1,5
Yann Karamoh,26,France,Torino,Forward - Left Wing,185,77,Right,219,24,9572,10,,,14,1,,100.0,84.62,16.67,,0.0,0,0,2.5,0,5
Yassin Belkhdim,22,France,Angers SCO,Midfielder,175,,,31,0,1429,0,,,6,0,,,,,,,,,0.5,,0
Yehvann Diouf,25,France,Reims,Goalkeeper - Goalkeeper,184,74,,108,0,9674,,115,39,4,0,,,69.05,,,0.0,1,0,8.0,0,3
Yllan Okou,21,France,Hellas Verona,Defender,189,,,47,6,3900,,59,13,4,1,,,,,,,,,0.9,0,5
Youssouf Fofana,25,France,AC Milan,Midfielder - Central Midfield,185,75,Right,248,13,18342,17,,,37,4,795,33.33,88.63,0.0,795,50.0,12,9,30.0,1,13
Yvan Neyou Noupa,27,France,Leganés,Midfielder - Defensive Midfield,180,63,Right,184,6,12112,4,,,50,4,760,25.0,85.93,0.0,760,50.0,14,6,2.0,0,23
Yvann Macon,44,France,Saint-Étienne,Midfielder - Right Back,175,70,,112,6,8280,7,,,30,0,,0.0,78.83,0.0,,75.0,5,0,2.0,0,7
Zinedine Ould Khaled,24,France,Angers SCO,Defender,,,,49,1,2464,,30,15,6,0,,,,,,,,,0.4,,0
Donovan Leon,32,French Guiana,Auxerre,Goalkeeper - Goalkeeper,187,88,Right,218,0,19403,,222,64,14,2,,,49.84,,495,100.0,1,0,0.5,0,2
Yoann Salmier,32,French Guiana,Le Havre,Defender - Centre Back,188,85,,267,6,22012,,280,83,44,2,,,82.63,0.0,,100.0,7,4,1.5,3,13
Agon Elezi,23,FYR Macedonia,Bochum,Midfielder - Defensive Midfield,181,,,89,7,5978,1,,,17,2,,,66.67,0.0,,0.0,1,2,0.8,0,0
Bojan Miovski,25,FYR Macedonia,Girona FC,Forward - Centre Forward,188,83,,219,73,15194,9,,,38,0,,50.0,80.95,,,0.0,0,0,4.0,0,1
Jacques Ekomie,21,Gabon,Angers SCO,Defender,,,,40,0,2329,,28,10,4,1,,,,,,,,,0.8,,0
Mario Lemina,31,Gabon,Wolverhampton Wanderers,Midfielder - Defensive Midfield,184,85,Right,361,18,23975,9,,,71,6,974,44.44,82.32,50.0,325,75.0,33,20,10.0,5,48
Shavy Warren Babicka,24,Gabon,Toulouse,Midfielder,,,,37,8,1462,1,,,1,0,140,,,,,,,,,,0
Alieu Fadera,23,Gambia,Como,Midfielder,,,,150,18,9582,13,,,27,1,,50.0,82.35,20.0,,25.0,11,2,5.0,0,1
Hassane Kamara,30,Gambia,Udinese,Midfielder - Left Back,168,67,Left,293,20,20778,6,,,46,4,640,66.67,84.93,37.5,320,33.33,15,9,4.5,1,9
Georges Mikautadze,24,Georgia,Olympique Lyonnais,Forward,176,71,Right,180,86,13400,18,,,18,2,233,61.11,80.0,0.0,465,17.65,3,1,20.0,1,5
Giorgi Mamardashvili,24,Georgia,Valencia CF,Goalkeeper - Goalkeeper,197,89,,194,0,17311,,216,55,15,2,,,62.12,,,0.0,0,0,45.0,0,2
Khvicha Kvaratskhelia,23,Georgia,Napoli,Midfielder - Left Wing,183,70,,248,67,17654,37,,,35,1,172,68.42,82.21,27.27,429,38.46,12,2,80.0,2,5
Saba Goglichidze,20,Georgia,Torpedo Kutaisi,Midfielder,,,,3,0,84,0,,,1,0,,,,,,,,,,0,2
Zuriko Davitashvili,23,Georgia,Saint-Étienne,Midfielder - Right Wing,175,63,,243,41,16165,13,,,27,0,210,58.82,81.78,35.71,524,42.5,9,7,5.0,0,0
Adrian Beck,27,Germany,Heidenheim,Midfielder - Attacking Midfield,186,75,,184,27,10689,7,,,17,0,335,28.57,77.1,66.67,335,54.55,12,4,1.5,1,2
Aleksandar Pavlovic,20,Germany,Bayern München,Midfielder,,,,52,6,3729,4,,,14,0,422,,,,,,,,,,0
Alexander Nubel,28,Germany,Stuttgart,Goalkeeper - Goalkeeper,193,86,Right,245,0,21859,,303,65,10,2,,,74.73,,990,0.0,0,0,12.0,6,7
Amos Pieper,26,Germany,Werder Bremen,Defender - Centre Back,192,84,,255,7,20428,,295,80,40,5,,0.0,84.62,,,0.0,8,9,4.0,3,11
Andu Yobel Kelati,22,Germany,Holstein Kiel,Midfielder,,,,83,16,5835,1,,,6,1,,0.0,82.05,66.67,108,100.0,1,2,,0,3
Angelo Stiller,23,Germany,Stuttgart,Midfielder - Defensive Midfield,183,,,215,13,16122,24,,,27,0,,0.0,91.32,36.36,928,85.71,14,5,28.0,8,9
Ansgar Knauff,22,Germany,Eintracht Frankfurt,Forward - Right Wing,180,,Right,184,33,10638,9,,,24,1,421,66.67,67.83,28.57,211,35.29,14,4,10.0,1,4
Anthony Jung,33,Germany,Werder Bremen,Defender - Left Back,186,87,Left,369,16,29177,,396,88,59,4,,,91.5,50.0,,100.0,10,9,1.0,2,3
Anton Stach,26,Germany,Hoffenheim,Midfielder - Defensive Midfield,194,,,246,23,16987,18,,,44,1,,83.33,86.11,40.0,932,55.56,25,15,15.0,1,10
Antonio Rudiger,31,Germany,Real Madrid,Defender - Centre Back,190,85,Right,522,24,43653,,480,193,83,4,,50.0,91.79,50.0,,100.0,6,3,25.0,12,19
Armindo Sieb,21,Germany,Mainz 05,Forward - Striker,,,,131,33,7945,4,,,7,0,189,54.55,70.41,0.0,,38.89,3,1,4.0,2,2
Arne Maier,25,Germany,Augsburg,Midfielder - Central Midfield,186,79,Right,224,15,14734,15,,,9,0,,25.0,87.37,40.0,,16.67,4,1,5.0,2,15
Atakan Karazor,28,Germany,Stuttgart,Midfielder - Defensive Midfield,191,80,Right,292,9,22003,10,,,83,2,,,89.96,0.0,795,85.71,17,9,12.0,0,18
Aymen Barkok,26,Germany,Mainz 05,Midfielder - Central Midfield,189,75,Right,188,16,8834,9,,,23,1,,,71.88,80.0,69,0.0,2,2,1.0,2,11
Bence Dardai,18,Germany,Wolfsburg,Forward,,,,5,0,271,0,,,0,0,,,100.0,,,0.0,0,0,,0,0
Benedikt Gimber,27,Germany,Heidenheim,Defender - Defensive Midfield,187,83,Left,260,13,20651,,307,64,95,3,,0.0,81.22,0.0,,100.0,31,11,2.8,1,3
Benjamin Henrichs,27,Germany,RB Leipzig,Defender - Right Back,185,79,Both,377,23,26568,,421,109,70,2,,25.0,77.39,21.43,287,62.5,25,13,20.0,3,13
Bote Baku,26,Germany,Wolfsburg,Defender - Right Back,176,68,Right,304,40,23337,,352,89,42,2,68,40.0,79.3,13.64,,33.33,11,9,7.0,1,5
Brajan Gruda,20,Germany,Mainz 05,Midfielder,,,,3,0,248,0,,,0,0,,,70.97,50.0,,33.33,2,0,,0,7
Chris Fuhrich,26,Germany,Stuttgart,Forward - Right Wing,181,,,270,56,19403,17,,,17,0,437,57.14,84.88,21.43,437,33.33,5,0,22.0,0,4
Christian Gunter,31,Germany,Freiburg,Defender - Left Back,184,83,Left,426,13,36185,,546,105,45,2,64,37.5,81.61,26.32,,0.0,10,2,5.0,1,7
David Raum,26,Germany,RB Leipzig,Defender - Left Back,180,75,Left,311,28,22890,,352,81,50,1,,50.0,79.45,26.67,488,60.0,11,2,25.0,3,6
Deniz Undav,28,Germany,Stuttgart,Forward - Centre Forward,179,86,Both,308,148,21266,41,,,46,2,129,58.33,71.78,0.0,,57.14,4,2,28.0,1,5
Derrick Kohn,25,Germany,Werder Bremen,Midfielder - Left Back,180,,,261,17,20757,19,,,40,5,,100.0,90.32,33.33,,0.0,2,1,6.0,4,2
Dominik Kohr,30,Germany,Mainz 05,Midfielder - Central Midfield,183,81,Right,371,17,25268,21,,,145,8,,0.0,78.34,50.0,,75.0,23,9,3.0,1,21
Elias Saad,24,Germany,St. Pauli,Forward,,,,43,11,2835,4,,,10,1,171,,,,171,,,,4.0,,0
Elvis Rexhbecaj,27,Germany,Augsburg,Midfielder - Central Midfield,182,73,Left,268,27,18358,10,,,45,0,838,44.44,78.95,6.67,,50.0,14,7,3.5,0,14
Emre Can,30,Germany,Borussia Dortmund,Midfielder - Defensive Midfield,186,82,Right,479,44,34457,24,,,119,6,298,40.0,89.91,0.0,,33.33,18,4,10.0,10,37
Eric Emanuel da Silva Moreira,18,Germany,Nottingham Forest,Forward,,,,23,7,1540,0,,,2,0,,,,,,,,,,,0
Faride Alidou,23,Germany,Hellas Verona,Forward - Left Wing,186,,,128,16,6447,4,,,14,0,,0.0,88.89,100.0,,50.0,0,1,2.5,0,5
Felix Agu,25,Germany,Werder Bremen,Defender - Right Back,180,,,161,8,11147,7,,,13,0,40,100.0,82.03,40.91,,33.33,10,8,6.0,1,2
Finn Dominik Porath,27,Germany,Holstein Kiel,Midfielder - Attacking Midfield,179,68,Both,294,30,16739,10,,,50,0,,50.0,65.75,16.67,704,33.33,19,7,1.5,0,0
Florent Muslija,26,Germany,Freiburg,Forward - Attacking Midfield,172,65,,268,48,14978,24,,,26,0,,66.67,80.0,8.33,,75.0,4,1,2.5,0,0
Florian Muller,27,Germany,Freiburg,Goalkeeper - Goalkeeper,190,85,Left,197,0,17684,,300,40,0,0,,,54.29,,,0.0,0,0,1.2,0,5
Florian Wirtz,21,Germany,Bayer Leverkusen,Midfielder - Attacking Midfield,177,,,195,57,13553,57,,,24,0,209,80.0,84.02,20.0,418,57.38,14,5,130.0,4,9
Forzan Assan Ouedraogo,18,Germany,RB Leipzig,Midfielder,,,,30,7,1620,1,,,2,0,,,,,,,,,,,0
Frans Kratzig,21,Germany,Stuttgart II,Defender - Left Back,177,,,55,4,3039,,46,19,4,0,,,91.67,0.0,,0.0,2,0,2.0,0,1
Grant Leon Ranos,21,Germany,Borussia M'gladbach II,Forward - Centre Forward,180,,,84,35,5277,2,,,7,0,,,33.33,,,0.0,1,0,1.0,0,2
Grischa Promel,29,Germany,Hoffenheim,Midfielder - Central Midfield,184,78,,290,34,22041,18,,,63,6,,,85.87,0.0,,0.0,0,1,7.0,1,16
Hauke Wahl,30,Germany,St. Pauli,Defender - Centre Back,189,85,Right,351,16,30630,,431,92,36,1,,100.0,83.88,20.0,,80.0,16,6,1.5,1,0
Henri Koudossou,25,Germany,Augsburg II,Forward,180,,Both,73,8,4290,3,,,7,0,,,84.75,0.0,,33.33,4,1,0.45,0,0
Igor Matanovic,,Germany,Eintracht Frankfurt,Midfielder,,,,11,2,544,0,,,0,0,85,66.67,75.0,,,0.0,0,0,,0,0
Jamal Musiala,21,Germany,Bayern München,Midfielder - Attacking Midfield,184,,,226,61,12770,34,,,11,0,141,60.87,83.79,0.0,703,48.94,16,5,130.0,15,12
Jan Schoppner,25,Germany,Heidenheim,Midfielder - Central Midfield,190,,,162,14,11799,5,,,19,0,415,46.15,77.46,50.0,,36.36,19,16,3.5,0,1
Janik Haberer,30,Germany,Union Berlin,Midfielder - Central Midfield,186,77,Both,344,34,22489,23,,,60,4,,50.0,73.72,12.5,,0.0,8,3,3.0,1,15
Jann Fiete Arp,24,Germany,Holstein Kiel,Forward - Centre Forward,184,78,Right,180,30,8054,8,,,27,1,274,66.67,61.9,25.0,,36.36,5,0,0.8,8,5
Johannes Eggestein,26,Germany,St. Pauli,Forward - Centre Forward,183,75,Right,228,75,13122,18,,,8,1,,80.0,75.23,26.67,893,37.5,1,0,2.0,0,1
Jonas Fohrenbach,28,Germany,Heidenheim,Defender - Left Back,184,81,,307,9,24485,,323,102,23,0,,20.0,71.78,37.5,867,36.36,15,7,2.0,1,1
Jonas Hofmann,32,Germany,Bayer Leverkusen,Midfielder - Right Wing,176,70,Right,353,70,21548,67,,,15,0,224,100.0,87.61,0.0,,66.67,0,0,7.0,6,12
Jonathan Burkardt,24,Germany,Mainz 05,Forward - Centre Forward,183,,,177,58,11185,10,,,6,0,123,53.33,76.58,11.11,,50.0,2,1,15.0,1,11
Jonathan Tah,28,Germany,Bayer Leverkusen,Defender - Centre Back,195,97,Right,452,15,37949,,523,134,66,4,60,57.14,93.29,60.0,,100.0,4,13,30.0,3,12
